rule_id,rule_title,mitre_technique,mitre_tactic,evaluable_on_unsw_nb15,tp,fp,fn,tn,total_fired,precision,recall,f1,fpr,exec_time_ms,not_evaluable_reason
5b7d1f4c-9a2e-4b6d-b3a8-d2f6a1c9cc45,Authentication Failure from External (Non-RFC1918) Source (CyberSentinel Native),T1110.003,credential-access,False,,,,,,,,,,,"Requiere category=authentication, outcome con fallo y src_ip externo. Misma razón que cs-auth-failure: UNSW-NB15 no tiene telemetría de autenticación."
1c8e3a6d-5b7f-4d9e-a4c2-c7b5e2d8bb34,Authentication Failure - Single Event (CyberSentinel Native),T1110,credential-access,False,,,,,,,,,,,"Requiere category=authentication y campo outcome con 'failure'/'failed'/'denied'. UNSW-NB15 no contiene eventos de autenticación; el campo 'state' de UNSW mapea a outcome pero la categoría del evento es 'network', no 'authentication'."
0b9a4c7e-5d3f-4b8a-c6e1-f9d4c7b2ee01,Connection to Known C2 Framework Ports (CyberSentinel Native),T1071,command-and-control,True,41,0,459,4500,41,1.0,0.082,0.1516,0.0,63.557,
9c3a1f8e-7b5d-4e2a-b6c3-d1f9a3e7ee45,Certutil Download via URL Cache (CyberSentinel Adaptation),T1105,command-and-control,False,,,,,,,,,,,Requiere category=process_creation y command_line con flags de certutil. UNSW-NB15 no contiene telemetría de procesos.
6f3d8b5e-2c7a-4e1b-b9a4-e8b5a2f3dd90,Large Outbound Data Transfer - Possible Exfiltration (CyberSentinel Native),T1048,exfiltration,True,0,0,500,4500,0,0.0,0.0,0.0,0.0,15.821,
5f8b2c9e-1d6a-4f3b-c7e2-a4b8d1f2ff56,Mshta.exe Execution - Defense Evasion (CyberSentinel Adaptation),T1218.005,defense-evasion,False,,,,,,,,,,,Requiere category=process_creation y process_name='mshta.exe'. UNSW-NB15 no contiene nombres de proceso.
b4c8f3a7-2d1e-4f9a-9c6b-e3d7a8f1cc23,Net.exe Domain and User Reconnaissance (CyberSentinel Adaptation),T1069,discovery,False,,,,,,,,,,,Requiere category=process_creation y command_line con 'net user/group'. UNSW-NB15 no contiene telemetría de procesos Windows.
7d2f5c8b-1e9a-4a3c-e7b6-b4e1f9a3aa23,Network Port Scan Tool Execution (CyberSentinel Native),T1046,discovery,False,,,,,,,,,,,"Requiere category=process_creation y command_line con nombre de herramienta. UNSW-NB15 no contiene telemetría de procesos. Nota: el escaneo de puertos en UNSW-NB15 se observa como flujos de red, no como ejecución de proceso."
3d6d4b49-5f2e-4e29-9e37-a1b7f3e5aa01,PowerShell Encoded Command (CyberSentinel Adaptation),T1059.001,execution,False,,,,,,,,,,,Requiere category=process_creation y campo command_line. UNSW-NB15 solo produce eventos category=network (flujos); command_line no está disponible en SecurityEvent normalizado desde UNSW.
3e6b1a9c-8f5d-4c7b-d2a3-a1c8d5f6ff12,Internal RDP Connection - Possible Lateral Movement (CyberSentinel Native),T1021.001,lateral-movement,True,0,0,500,4500,0,0.0,0.0,0.0,0.0,23.236,
8e1b5d3a-4f7c-4a9e-b2d3-c6a1f8e5bb78,Regsvr32.exe Silent Execution (CyberSentinel Adaptation),T1218.010,defense-evasion,False,,,,,,,,,,,"Requiere category=process_creation, process_name y command_line. Ambos campos ausentes en UNSW-NB15."
4a6c9f2d-8b1e-4d7a-a3b5-d7f2c9b4cc89,Rundll32.exe Execution with JavaScript/VBS (CyberSentinel Adaptation),T1218.011,defense-evasion,False,,,,,,,,,,,"Requiere category=process_creation, process_name y command_line. Ambos campos ausentes en UNSW-NB15."
1e5f7d2b-3a8c-4b6e-a9d1-c2f4e7b8dd34,Schtasks.exe Scheduled Task Creation (CyberSentinel Adaptation),T1053.005,persistence,False,,,,,,,,,,,Requiere category=process_creation y command_line con 'schtasks /create'. UNSW-NB15 no contiene telemetría de procesos.
7a912c1e-e8f4-4d23-8c3b-f1a2e5d9bb12,Whoami.exe Execution (CyberSentinel Adaptation),T1033,discovery,False,,,,,,,,,,,Requiere category=process_creation y campo process_name. UNSW-NB15 no captura nombres de proceso ni rutas de binario.
2d7f4a1c-9e3b-4c8a-d5f6-b9c3e7a1a167,WMIC Remote Process Execution (CyberSentinel Adaptation),T1047,execution,False,,,,,,,,,,,Requiere category=process_creation y command_line con 'wmic process call create'. UNSW-NB15 no contiene telemetría de procesos.
RULE-0001,Fuerza bruta de autenticacion,T1110,credential-access,False,,,,,,,,,,,Requiere category=authentication. UNSW-NB15 produce category=network.
RULE-0006,Posible baliza C2 (conexiones repetidas a puerto de herramientas ofensivas),T1071,command-and-control,False,,,,,,,,,,,Requiere aggregation (3+ conexiones en 10 min). El evaluador stateless no soporta aggregation Sigma nativa. Además el count() temporal no está implementado para RulesEngine.evaluate_event().
RULE-0002,PowerShell ofuscado o codificado,T1059,execution,False,,,,,,,,,,,Requiere category=process y command_line. UNSW-NB15 no tiene telemetría de proceso.
RULE-0007,Exfiltracion por gran volumen de datos,T1048,exfiltration,True,0,0,500,4500,0,0.0,0.0,0.0,0.0,12.818,
RULE-0004,Escaneo de servicios de red,T1046,discovery,False,,,,,,,,,,,Requiere category=process y command_line. UNSW-NB15 no tiene telemetría de proceso.
RULE-0005,Conexion RDP entre hosts internos (posible movimiento lateral),T1021,lateral-movement,True,0,0,500,4500,0,0.0,0.0,0.0,0.0,16.008,
RULE-0003,Creacion de tarea programada (posible persistencia),T1053,persistence,False,,,,,,,,,,,Requiere category=process y command_line. UNSW-NB15 no tiene telemetría de proceso.
