curve,x,y
roc,0.0,0.0
roc,0.000277,0.0
roc,0.000512,0.0
roc,0.000789,7.6e-05
roc,0.001024,7.6e-05
roc,0.001259,7.6e-05
roc,0.001515,7.6e-05
roc,0.001664,7.6e-05
roc,0.001878,7.6e-05
roc,0.002027,7.6e-05
roc,0.002176,7.6e-05
roc,0.002368,7.6e-05
roc,0.002539,7.6e-05
roc,0.002667,0.000228
roc,0.00288,0.000305
roc,0.003158,0.000305
roc,0.003499,0.000381
roc,0.003841,0.000381
roc,0.004182,0.000381
roc,0.004438,0.000457
roc,0.00463,0.000457
roc,0.004758,0.000609
roc,0.004886,0.000685
roc,0.005035,0.000761
roc,0.005163,0.001218
roc,0.005291,0.001371
roc,0.005398,0.001599
roc,0.005483,0.001751
roc,0.005526,0.002208
roc,0.005569,0.002894
roc,0.005761,0.00297
roc,0.005804,0.003427
roc,0.006038,0.003579
roc,0.006166,0.003884
roc,0.006252,0.004493
roc,0.006508,0.005178
roc,0.006636,0.005635
roc,0.0067,0.006549
roc,0.007084,0.006777
roc,0.007126,0.007234
roc,0.007361,0.007691
roc,0.007489,0.008224
roc,0.007553,0.008605
roc,0.007724,0.008681
roc,0.007852,0.009214
roc,0.007873,0.009976
roc,0.007895,0.01028
roc,0.007916,0.010585
roc,0.008044,0.010966
roc,0.008215,0.011346
roc,0.008279,0.011879
roc,0.008364,0.012032
roc,0.008385,0.013555
roc,0.008513,0.01424
roc,0.008705,0.015002
roc,0.008769,0.015535
roc,0.008833,0.015687
roc,0.008876,0.016372
roc,0.008919,0.01721
roc,0.009004,0.017514
roc,0.009047,0.017895
roc,0.009132,0.018581
roc,0.009175,0.019418
roc,0.009239,0.02018
roc,0.009281,0.021094
roc,0.009281,0.02315
roc,0.009303,0.023606
roc,0.009345,0.024216
roc,0.009388,0.02452
roc,0.009431,0.025053
roc,0.009473,0.026119
roc,0.009495,0.027186
roc,0.009537,0.027566
roc,0.009537,0.028175
roc,0.00958,0.028785
roc,0.009623,0.029851
roc,0.009665,0.030765
roc,0.009729,0.031145
roc,0.009751,0.031602
roc,0.009772,0.032135
roc,0.009836,0.03244
roc,0.009857,0.032897
roc,0.009921,0.033049
roc,0.009964,0.03343
roc,0.010028,0.033582
roc,0.010092,0.033811
roc,0.010135,0.033963
roc,0.010199,0.034191
roc,0.010242,0.034724
roc,0.010284,0.035105
roc,0.010391,0.035562
roc,0.010391,0.036247
roc,0.010412,0.036704
roc,0.010455,0.03739
roc,0.010519,0.037846
roc,0.010626,0.038227
roc,0.010711,0.03838
roc,0.010732,0.039293
roc,0.010754,0.039903
roc,0.011138,0.040359
roc,0.011202,0.040512
roc,0.011244,0.040969
roc,0.011266,0.041654
roc,0.011351,0.042035
roc,0.011372,0.043025
roc,0.011479,0.043253
roc,0.011671,0.043405
roc,0.011714,0.043634
roc,0.011778,0.043938
roc,0.011799,0.044852
roc,0.011842,0.04569
roc,0.01197,0.046071
roc,0.011991,0.047213
roc,0.011991,0.047746
roc,0.012012,0.049193
roc,0.012055,0.049574
roc,0.012119,0.05064
roc,0.012183,0.050868
roc,0.01229,0.05102
roc,0.012418,0.051173
roc,0.012461,0.051325
roc,0.012482,0.052087
roc,0.012546,0.05262
roc,0.012589,0.053
roc,0.012653,0.054066
roc,0.012674,0.054371
roc,0.012738,0.054676
roc,0.012802,0.05498
roc,0.012823,0.055285
roc,0.012909,0.055513
roc,0.01293,0.056275
roc,0.012994,0.056808
roc,0.013058,0.057798
roc,0.013079,0.058559
roc,0.013079,0.059778
roc,0.013186,0.060311
roc,0.013229,0.060463
roc,0.013335,0.060539
roc,0.013378,0.061301
roc,0.013378,0.062443
roc,0.013485,0.062519
roc,0.013506,0.063433
roc,0.013506,0.064575
roc,0.014189,0.065032
roc,0.014253,0.066174
roc,0.014317,0.066555
roc,0.014338,0.067393
roc,0.014359,0.06785
roc,0.014402,0.068687
roc,0.014552,0.068992
roc,0.014552,0.071429
roc,0.01468,0.071657
roc,0.014744,0.071885
roc,0.014744,0.073104
roc,0.015128,0.073561
roc,0.015192,0.073942
roc,0.015213,0.075617
roc,0.015426,0.075769
roc,0.015469,0.075998
roc,0.01549,0.076759
roc,0.015533,0.077673
roc,0.01564,0.07813
roc,0.01564,0.080262
roc,0.015725,0.080719
roc,0.015874,0.081633
roc,0.01596,0.081937
roc,0.016002,0.082318
roc,0.016088,0.082623
roc,0.01613,0.085212
roc,0.016258,0.086125
roc,0.017048,0.086125
roc,0.01724,0.086735
roc,0.017304,0.086887
roc,0.017411,0.087496
roc,0.017432,0.089171
roc,0.017475,0.089628
roc,0.017475,0.091075
roc,0.017667,0.09138
roc,0.017773,0.091837
roc,0.017944,0.092217
roc,0.017987,0.093055
roc,0.018029,0.093664
roc,0.018051,0.093969
roc,0.018051,0.095797
roc,0.018264,0.096025
roc,0.018285,0.097548
roc,0.018648,0.098614
roc,0.018733,0.099147
roc,0.018904,0.100594
roc,0.018968,0.101279
roc,0.019054,0.101965
roc,0.019075,0.103792
roc,0.019331,0.106762
roc,0.019416,0.107371
roc,0.019651,0.107447
roc,0.019651,0.109275
roc,0.019672,0.110037
roc,0.019715,0.11057
roc,0.019779,0.112702
roc,0.019822,0.112854
roc,0.019928,0.114682
roc,0.020206,0.114758
roc,0.020206,0.115367
roc,0.020248,0.117042
roc,0.020291,0.117423
roc,0.020334,0.120241
roc,0.020632,0.120698
roc,0.020739,0.121154
roc,0.020782,0.122068
roc,0.021102,0.122906
roc,0.021102,0.127779
roc,0.021144,0.12816
roc,0.021337,0.128541
roc,0.021379,0.128769
roc,0.021443,0.129302
roc,0.021465,0.132348
roc,0.021486,0.13311
roc,0.02155,0.133338
roc,0.021614,0.136308
roc,0.021785,0.136613
roc,0.021913,0.136765
roc,0.022019,0.13844
roc,0.022062,0.138821
roc,0.022083,0.143999
roc,0.022766,0.144076
roc,0.023043,0.144152
roc,0.023171,0.145446
roc,0.023278,0.148492
roc,0.023299,0.150015
roc,0.023299,0.15131
roc,0.023321,0.154203
roc,0.023363,0.154584
roc,0.023385,0.155574
roc,0.023662,0.155955
roc,0.023769,0.156412
roc,0.023854,0.157554
roc,0.023876,0.159534
roc,0.024025,0.160524
roc,0.024196,0.161666
roc,0.024238,0.161895
roc,0.024302,0.162275
roc,0.024686,0.16258
roc,0.024772,0.163798
roc,0.024793,0.164408
roc,0.024857,0.164864
roc,0.024878,0.165474
roc,0.024942,0.166768
roc,0.025006,0.168443
roc,0.02507,0.169205
roc,0.025156,0.169433
roc,0.025198,0.172708
roc,0.02522,0.174079
roc,0.025348,0.174307
roc,0.02539,0.17583
roc,0.025412,0.176287
roc,0.025518,0.176896
roc,0.025753,0.177658
roc,0.025881,0.177962
roc,0.025945,0.178267
roc,0.026009,0.17979
roc,0.026031,0.180247
roc,0.026287,0.183293
roc,0.026351,0.184207
roc,0.026479,0.18474
roc,0.0265,0.186415
roc,0.026671,0.186567
roc,0.026735,0.187024
roc,0.026777,0.187633
roc,0.026863,0.188699
roc,0.027204,0.18908
roc,0.027951,0.189461
roc,0.027972,0.191898
roc,0.028143,0.192126
roc,0.028356,0.192202
roc,0.028399,0.192735
roc,0.028399,0.193954
roc,0.028804,0.194258
roc,0.028868,0.195401
roc,0.029188,0.198294
roc,0.029338,0.199208
roc,0.030127,0.199741
roc,0.030255,0.199817
roc,0.030255,0.200655
roc,0.030426,0.20134
roc,0.030469,0.203016
roc,0.03049,0.204615
roc,0.030917,0.204767
roc,0.030938,0.205528
roc,0.03113,0.205681
roc,0.031151,0.206366
roc,0.031173,0.206975
roc,0.031386,0.20728
roc,0.031706,0.207432
roc,0.031727,0.208955
roc,0.031834,0.209031
roc,0.031898,0.209336
roc,0.031962,0.211849
roc,0.03209,0.212763
roc,0.032154,0.21322
roc,0.032239,0.21459
roc,0.032261,0.21657
roc,0.032303,0.217789
roc,0.032346,0.218474
roc,0.032602,0.218626
roc,0.032666,0.219083
roc,0.033434,0.219388
